Gemeindename;PLZ
Gibloux;1695
Gibloux;1695
Gibloux;1695
Gibloux;1696
Gibloux;1726
Gibloux;1726
Gibloux;1726
Gibloux;1726
Gibloux;1727
Gibloux;1727
Gibloux;1728
Courgevaux;1796
Courtepin;1583
Courtepin;1783
Courtepin;1783
Courtepin;1784
Courtepin;1784
Courtepin;1791
Cressier (FR);1785
Fräschels;3284
Galmiz;3285
Gempenach;3215
Greng;3280
Gurmels;1792
Gurmels;1792
Gurmels;3206
Gurmels;3212
Gurmels;3212
Gurmels;3213
Kerzers;3210
Kleinbösingen;3213
Meyriez;3280
Misery-Courtion;1721
Misery-Courtion;1721
Misery-Courtion;1721
Misery-Courtion;1721
Muntelier;3286
Murten;1793
Murten;1794
Murten;1795
Murten;3215
Murten;3215
Murten;3280
Ried bei Kerzers;3216
Ried bei Kerzers;3216
Ulmiz;3214
Mont-Vully;1786
Mont-Vully;1787
Mont-Vully;1787
Mont-Vully;1788
Mont-Vully;1789
Alterswil;1715
Brünisried;1719
Düdingen;3186
Giffers;1735
Bösingen;3178
Heitenried;1714
Plaffeien;1716
Plaffeien;1716
Plaffeien;1716
Plaffeien;1719
Plasselb;1737
Rechthalten;1718
St. Antoni;1713
St. Silvester;1736
St. Ursen;1717
Schmitten (FR);3185
Tafers;1712
Tentlingen;1734
Ueberstorf;3182
Wünnewil-Flamatt;3175
Wünnewil-Flamatt;3184
Attalens;1616
Attalens;1617
Bossonnens;1615
Châtel-Saint-Denis;1618
Châtel-Saint-Denis;1619
Granges (Veveyse);1614
Remaufens;1617
Saint-Martin (FR);1609
Saint-Martin (FR);1609
Saint-Martin (FR);1609
Saint-Martin (FR);1609
Semsales;1623
Semsales;1624
Le Flon;1699
Le Flon;1699
Le Flon;1699
Le Flon;1699
La Verrerie;1611
La Verrerie;1624
La Verrerie;1624
La Verrerie;1624
Egerkingen;4622
Härkingen;4624
Kestenholz;4703
Neuendorf;4623
Niederbuchsiten;4626
Oberbuchsiten;4625
Oensingen;4702
Wolfwil;4628
Aedermannsdorf;4714
Balsthal;4710
Gänsbrunnen;4716
Herbetswil;4715
Holderbank (SO);4718
Laupersdorf;4712
Matzendorf;4713
Mümliswil-Ramiswil;4717
Mümliswil-Ramiswil;4719
Welschenrohr;4716
Biezwil;4585
Lüterkofen-Ichertswil;4571
Lüterkofen-Ichertswil;4571
Lüterswil-Gächliwil;4584
Lüterswil-Gächliwil;4584
Messen;3254
Messen;3254
Messen;3307
Messen;4588
Schnottwil;3253
Unterramsern;4588
Lüsslingen-Nennigkofen;4574
Lüsslingen-Nennigkofen;4574
Buchegg;4576
Buchegg;4577
Buchegg;4578
Buchegg;4579
Buchegg;4581
Buchegg;4582
Buchegg;4583
Buchegg;4583
Buchegg;4586
Buchegg;4587
Buchegg;4588
Bättwil;4112
Büren (SO);4413
Dornach;4143
Gempen;4145
Hochwald;4146
Hofstetten-Flüh;4112
Hofstetten-Flüh;4114
Metzerlen-Mariastein;4115
Metzerlen-Mariastein;4116
Nuglar-St. Pantaleon;4412
Nuglar-St. Pantaleon;4421
Rodersdorf;4118
Seewen;4206
Witterswil;4108
Hauenstein-Ifenthal;4633
Kienberg;4468
Lostorf;4654
Niedergösgen;5013
Obergösgen;4653
Rohr (SO);4655
Stüsslingen;4655
Trimbach;4632
Winznau;4652
Wisen (SO);4634
Erlinsbach (SO);5015
Aeschi (SO);4556
Aeschi (SO);4556
Aeschi (SO);4556
Biberist;4562
Bolken;4556
Deitingen;4543
Derendingen;4552
Etziken;4554
Gerlafingen;4563
Halten;4566
Horriwil;4557
Hüniken;4554
Kriegstetten;4566
Lohn-Ammannsegg;4573
Luterbach;4542
Obergerlafingen;4564
Oekingen;4566
Recherswil;4565
Subingen;4553
Zuchwil;4528
Drei Höfe;4558
Drei Höfe;4558
Drei Höfe;4558
Balm bei Günsberg;4524
Balm bei Günsberg;4524
Balm bei Günsberg;4525
Bellach;4512
Bettlach;2544
Feldbrunnen-St. Niklaus;4532
Flumenthal;4534
Grenchen;2540
Günsberg;4524
Hubersdorf;4535
Kammersrohr;4535
Langendorf;4513
Lommiswil;4514
Oberdorf (SO);4515
Oberdorf (SO);4515
Riedholz;4523
Riedholz;4533
Rüttenen;4522
Selzach;2545
Boningen;4618
Däniken;4658
Dulliken;4657
Eppenberg-Wöschnau;5012
Eppenberg-Wöschnau;5012
Fulenbach;4629
Gretzenbach;5014
Gunzgen;4617
Hägendorf;4614
Hägendorf;4615
Kappel (SO);4616
Olten;4600
Rickenbach (SO);4613
Schönenwerd;5012
Starrkirch-Wil;4656
Walterswil (SO);5746
Wangen bei Olten;4612
Solothurn;4500
Bärschwil;4252
Beinwil (SO);4229
Breitenbach;4226
Büsserach;4227
Erschwil;4228
Fehren;4232
Grindel;4247
Himmelried;4204
Kleinlützel;4245
Meltingen;4233
Nunningen;4208
Zullwil;4234
Basel;4001
Basel;4031
Basel;4031
Basel;4051
Basel;4052
Basel;4052
Basel;4053
Basel;4054
Basel;4055
Basel;4056
Basel;4057
Basel;4058
Basel;4059
Bettingen;4126
Riehen;4125
Aesch (BL);4147
Allschwil;4123
Arlesheim;4144
Biel-Benken;4105
Binningen;4101
Binningen;4102
Birsfelden;4127
Bottmingen;4103
Ettingen;4107
Münchenstein;4142
Muttenz;4132
Oberwil (BL);4104
Pfeffingen;4148
Reinach (BL);4153
Schönenbuch;4124
Therwil;4106
Blauen;4223
Brislach;4225
Burg im Leimental;4117
Dittingen;4243
Duggingen;4202
Grellingen;4203
Laufen;4242
Liesberg;4253
Liesberg;4254
Nenzlingen;4224
Roggenburg;2814
Röschenz;4244
Wahlen;4246
Zwingen;4222
Arisdorf;4422
Augst;4302
Bubendorf;4416
Frenkendorf;4402
Füllinsdorf;4414
Giebenach;4304
Hersberg;4423
Lausen;4415
Liestal;4410
Lupsingen;4419
Pratteln;4133
Ramlinsburg;4433
Seltisberg;4411
Ziefen;4417
Anwil;4469
Böckten;4461
Buckten;4446
Buus;4463
Diepflingen;4442
Gelterkinden;4460
Häfelfingen;4445
Hemmiken;4465
Itingen;4452
Känerkinden;4447
Kilchberg (BL);4496
Läufelfingen;4448
Maisprach;4464
Nusshof;4453
Oltingen;4494
Ormalingen;4466
Rickenbach (BL);4462
Rothenfluh;4467
Rümlingen;4444
Rünenberg;4497
Sissach;4450
Tecknau;4492
Tenniken;4456
Thürnen;4441
Wenslingen;4493
Wintersingen;4451
Wittinsburg;4443
Zeglingen;4495
Zunzgen;4455
Arboldswil;4424
Bennwil;4431
Bretzwil;4207
Diegten;4457
Eptingen;4458
Hölstein;4434
Lampenberg;4432
Langenbruck;4438
Lauwil;4426
Liedertswil;4436
Niederdorf;4435
Oberdorf (BL);4436
Reigoldswil;4418
Titterten;4425
Waldenburg;4437
Gächlingen;8214
Gächlingen;8214
Löhningen;8224
Neunkirch;8213
Büttenhardt;8236
Dörflingen;8239
Lohn (SH);8235
Stetten (SH);8234
Thayngen;8236
Thayngen;8240
Thayngen;8241
Thayngen;8242
Thayngen;8242
Thayngen;8243
Bargen (SH);8233
Beringen;8222
Beringen;8223
Buchberg;8454
Merishausen;8232
Neuhausen am Rheinfall;8212
Rüdlingen;8455
Schaffhausen;8200
Schaffhausen;8203
Schaffhausen;8207
Schaffhausen;8208
Schaffhausen;8231
Beggingen;8228
Schleitheim;8226
Siblingen;8225
Buch (SH);8263
Hemishofen;8261
Ramsen;8262
Stein am Rhein;8260
Hallau;8215
Oberhallau;8216
Trasadingen;8219
Wilchingen;8217
Wilchingen;8218
Herisau;9100
Herisau;9112
Hundwil;9064
Schönengrund;9105
Schwellbrunn;9103
Stein (AR);9063
Urnäsch;9107
Waldstatt;9104
Bühler;9055
Gais;9056
Speicher;9037
Speicher;9042
Teufen (AR);9052
Teufen (AR);9053
Teufen (AR);9062
Trogen;9043
Grub (AR);9035
Heiden;9410
Lutzenberg;9405
Lutzenberg;9426
Rehetobel;9038
Reute (AR);9411
Reute (AR);9411
Wald (AR);9044
Walzenhausen;9428
Wolfhalden;9427
Appenzell;9050
Appenzell;9050
Gonten;9108
Gonten;9108
Gonten;9108
Rüte;9050
Rüte;9050
Rüte;9057
Rüte;9058
Schlatt-Haslen;9050
Schlatt-Haslen;9050
Schlatt-Haslen;9054
Schwende;9057
Schwende;9057
Oberegg;9413
Oberegg;9413
Oberegg;9442
Häggenschwil;9308
Häggenschwil;9312
Muolen;9313
St. Gallen;9000
St. Gallen;9008
St. Gallen;9010
St. Gallen;9011
St. Gallen;9012
St. Gallen;9014
St. Gallen;9015
St. Gallen;9016
Wittenbach;9300
Berg (SG);9305
Eggersriet;9034
Eggersriet;9036
Goldach;9403
Mörschwil;9402
Rorschach;9400
Rorschacherberg;9404
Steinach;9323
Tübach;9327
Untereggen;9033
Au (SG);9434
Au (SG);9435
Balgach;9436
Berneck;9411
Berneck;9442
Diepoldsau;9444
Rheineck;9424
St. Margrethen;9430
Thal;9422
Thal;9423
Thal;9425
Widnau;9443
Altstätten;9450
Altstätten;9450
Altstätten;9452
Altstätten;9464
Eichberg;9453
Marbach (SG);9437
Oberriet (SG);9451
Oberriet (SG);9462
Oberriet (SG);9462
Oberriet (SG);9463
Rebstein;9445
Rüthi (SG);9464
Buchs (SG);9470
Gams;9473
Grabs;9470
Grabs;9472
Grabs;9472
Sennwald;9465
Sennwald;9466
Sennwald;9467
Sennwald;9468
Sennwald;9469
Sevelen;9475
Wartau;9476
Wartau;9476
Wartau;9477
Wartau;9478
Wartau;9479
Wartau;9479
Wartau;9479
Bad Ragaz;7310
Flums;8890
Flums;8893
Flums;8894
Flums;8895
Flums;8896
Flums;8897
Flums;8898
Mels;7325
Mels;7326
Mels;8886
Mels;8887
Mels;8888
Mels;8889
Pfäfers;7312
Pfäfers;7313
Pfäfers;7314
Pfäfers;7315
Pfäfers;7317
Pfäfers;7317
Quarten;8877
Quarten;8878
Quarten;8882
Quarten;8883
Quarten;8884
Quarten;8885
Sargans;7320
Vilters-Wangs;7323
Vilters-Wangs;7323
Vilters-Wangs;7324
Walenstadt;8880
Walenstadt;8881
Walenstadt;8881
Walenstadt;8892
Amden;8873
Benken (SG);8717
Kaltbrunn;8722
Schänis;8718
Schänis;8723
Schänis;8723
Schänis;8866
Weesen;8872
Schmerikon;8716
Uznach;8730
Rapperswil-Jona;8640
Rapperswil-Jona;8645
Rapperswil-Jona;8646
Rapperswil-Jona;8715
Gommiswald;8725
Gommiswald;8725
Gommiswald;8737
Gommiswald;8738
Gommiswald;8739
Eschenbach (SG);8638
Eschenbach (SG);8727
Eschenbach (SG);8732
Eschenbach (SG);8733
Eschenbach (SG);8734
Eschenbach (SG);8735
Eschenbach (SG);8735
Ebnat-Kappel;9642
Wildhaus-Alt St. Johann;9656
Wildhaus-Alt St. Johann;9657
Wildhaus-Alt St. Johann;9658
Nesslau;9643
Nesslau;9650
Nesslau;9651
Nesslau;9652
Nesslau;9655
Hemberg;9633
Hemberg;9633
Lichtensteig;9620
Oberhelfenschwil;9621
Neckertal;9114
Neckertal;9115
Neckertal;9122
Neckertal;9122
Neckertal;9123
Neckertal;9125
Neckertal;9126
Neckertal;9127
Wattwil;8726
Wattwil;9622
Wattwil;9630
Wattwil;9631
Kirchberg (SG);9500
Kirchberg (SG);9533
Kirchberg (SG);9533
Kirchberg (SG);9534
Kirchberg (SG);9602
Kirchberg (SG);9602
Lütisburg;9601
Lütisburg;9604
Lütisburg;9604
Mosnang;9607
Mosnang;9612
Mosnang;9613
Mosnang;9614
Bütschwil-Ganterschwil;9606
Bütschwil-Ganterschwil;9608
Bütschwil-Ganterschwil;9615
Degersheim;9113
Degersheim;9116
Flawil;9230
Flawil;9231
Jonschwil;9243
Jonschwil;9532
Jonschwil;9536
Jonschwil;9604
Oberuzwil;9240
Oberuzwil;9242
Oberuzwil;9248
Uzwil;9240
Uzwil;9244
Uzwil;9247
Uzwil;9249
Uzwil;9249
Uzwil;9249
Niederbüren;9246
Niederhelfenschwil;9525
Niederhelfenschwil;9526
Niederhelfenschwil;9527
Oberbüren;9203
Oberbüren;9245
Oberbüren;9245
Zuzwil (SG);9523
Zuzwil (SG);9524
Wil (SG);9500
Wil (SG);9512
Wil (SG);9552
Andwil (SG);9204
Gaiserwald;9030
Gaiserwald;9030
Gaiserwald;9032
Gossau (SG);9200
Gossau (SG);9212
Waldkirch;9205
Waldkirch;9304
Vaz/Obervaz;7077
Vaz/Obervaz;7078
Vaz/Obervaz;7082
Vaz/Obervaz;7450
Lantsch/Lenz;7083
Schmitten (GR);7493
Albula/Alvra;7084
Albula/Alvra;7450
Albula/Alvra;7451
Albula/Alvra;7458
Albula/Alvra;7459
Albula/Alvra;7472
Albula/Alvra;7473
Albula/Alvra;7492
Surses;7452
Surses;7453
Surses;7454
Surses;7455
Surses;7456
Surses;7456
Surses;7457
Surses;7460
Surses;7462
Surses;7463
Surses;7463
Surses;7464
Bergün Filisur;7477
Bergün Filisur;7482
Bergün Filisur;7482
Bergün Filisur;7482
Bergün Filisur;7484
Brusio;7743
Brusio;7744
Brusio;7747
Brusio;7748
Poschiavo;7710
Poschiavo;7710
Poschiavo;7741
Poschiavo;7742
Poschiavo;7742
Poschiavo;7742
Poschiavo;7743
Poschiavo;7745
Poschiavo;7746
Falera;7153
Laax;7031
Laax;7032
Sagogn;7152
Schluein;7151
Vals;7116
Vals;7132
Lumnezia;7110
Lumnezia;7113
Lumnezia;7114
Lumnezia;7115
Lumnezia;7116
Lumnezia;7142
Lumnezia;7143
Lumnezia;7144
Lumnezia;7145
Lumnezia;7146
Lumnezia;7147
Lumnezia;7148
Lumnezia;7149
Ilanz/Glion;7111
Ilanz/Glion;7112
Ilanz/Glion;7126
Ilanz/Glion;7127
Ilanz/Glion;7128
Ilanz/Glion;7130
Ilanz/Glion;7130
Ilanz/Glion;7130
Ilanz/Glion;7141
Ilanz/Glion;7154
Ilanz/Glion;7155
Ilanz/Glion;7155
Ilanz/Glion;7156
Ilanz/Glion;7156
Ilanz/Glion;7157
Fürstenau;7413
Fürstenau;7414
Rothenbrunnen;7405
Scharans;7412
Sils im Domleschg;7411
Cazis;7408
Cazis;7421
Cazis;7422
Cazis;7423
Cazis;7423
Cazis;7424
Cazis;7424
Flerden;7426
Flerden;7426
Masein;7425
Thusis;7430
Thusis;7431
Thusis;7431
Tschappina;7428
Urmein;7427
Safiental;7104
Safiental;7106
Safiental;7107
Safiental;7109
Safiental;7122
Domleschg;7404
Domleschg;7407
Domleschg;7415
Domleschg;7415
Domleschg;7416
Domleschg;7417
Domleschg;7418
Domleschg;7419
Avers;7446
Avers;7447
Avers;7447
Avers;7448
Hinterrhein;7438
Nufenen;7437
Splügen;7435
Splügen;7436
Sufers;7434
Andeer;7440
Andeer;7442
Andeer;7443
Casti-Wergenstein;7433
Donat;7433
Lohn (GR);7433
Mathon;7433
Rongellen;7430
Zillis-Reischen;7432
Ferrera;7444
Ferrera;7445
Ferrera;7445
Bonaduz;7402
Domat/Ems;7013
Rhäzüns;7403
Felsberg;7012
Flims;7017
Flims;7018
Flims;7019
Tamins;7015
Trin;7014
Trin;7016
Zernez;7527
Zernez;7530
Zernez;7542
Zernez;7543
Samnaun;7562
Samnaun;7563
Scuol;7545
Scuol;7546
Scuol;7550
Scuol;7551
Scuol;7552
Scuol;7553
Scuol;7554
Scuol;7554
Valsot;7556
Valsot;7556
Valsot;7557
Valsot;7558
Valsot;7559
Valsot;7560
Bever;7502
Bever;7502
Celerina/Schlarigna;7505
Madulain;7523
Madulain;7523
Pontresina;7504
La Punt-Chamues-ch;7522
Samedan;7503
St. Moritz;7500
S-chanf;7525
S-chanf;7526
Sils im Engadin/Segl;7514
Sils im Engadin/Segl;7514
Sils im Engadin/Segl;7515
Sils im Engadin/Segl;7517
Silvaplana;7512
Silvaplana;7513
Silvaplana;7513
Zuoz;7524
Zuoz;7524
Bregaglia;7516
Bregaglia;7602
Bregaglia;7603
Bregaglia;7604
Bregaglia;7605
Bregaglia;7606
Bregaglia;7606
Bregaglia;7608
Bregaglia;7610
Buseno;6542
Castaneda;6540
Rossa;6548
Rossa;6548
Rossa;6548
Santa Maria in Calanca;6541
Lostallo;6558
Mesocco;6563
Mesocco;6565
Soazza;6562
Cama;6557
Grono;6537
Grono;6538
Grono;6538
Grono;6556
Roveredo (GR);6535
Roveredo (GR);6549
San Vittore;6534
San Vittore;6534
Calanca;6543
Calanca;6544
Calanca;6545
Calanca;6546
Val Müstair;7532
Val Müstair;7533
Val Müstair;7534
Val Müstair;7535
Val Müstair;7536
Val Müstair;7537
Davos;7260
Davos;7265
Davos;7270
Davos;7272
Davos;7276
Davos;7277
Davos;7278
Davos;7494
Fideris;7235
Furna;7232
Jenaz;7231
Jenaz;7233
Klosters-Serneus;7247
Klosters-Serneus;7249
Klosters-Serneus;7250
Klosters-Serneus;7252
Conters im Prättigau;7241
Küblis;7240
Luzein;7223
Luzein;7224
Luzein;7242
Luzein;7243
Luzein;7244
Luzein;7245
Luzein;7246
Chur;7000
Churwalden;7062
Churwalden;7074
Churwalden;7075
Churwalden;7076
Arosa;7027
Arosa;7027
Arosa;7027
Arosa;7028
Arosa;7028
Arosa;7029
Arosa;7050
Arosa;7056
Arosa;7057
Arosa;7058
Maladers;7026
Tschiertschen-Praden;7063
Tschiertschen-Praden;7064
Haldenstein;7023
Trimmis;7202
Trimmis;7203
Untervaz;7204
Zizers;7205
Fläsch;7306
Jenins;7307
Maienfeld;7304
Malans;7208
Landquart;7206
Landquart;7302
Landquart;7303
Grüsch;7213
Grüsch;7214
Grüsch;7215
Schiers;7220
Schiers;7220
Schiers;7222
Schiers;7226
Schiers;7226
Schiers;7226
Schiers;7228
Schiers;7228
Seewis im Prättigau;7212
Seewis im Prättigau;7212
Seewis im Prättigau;7212
Breil/Brigels;7158
Breil/Brigels;7159
Breil/Brigels;7162
Breil/Brigels;7163
Breil/Brigels;7164
Breil/Brigels;7165
Disentis/Mustér;7180
Disentis/Mustér;7182
Disentis/Mustér;7183
Disentis/Mustér;7186
Medel (Lucmagn);7184
Medel (Lucmagn);7185
Sumvitg;7172
Sumvitg;7173
Sumvitg;7174
Sumvitg;7175
Sumvitg;7176
Tujetsch;7187
Tujetsch;7188
Tujetsch;7189
Trun;7166
Trun;7167
Trun;7168
Obersaxen Mundaun;7134
Obersaxen Mundaun;7137
Obersaxen Mundaun;7138
Aarau;5000
Aarau;5004
Aarau;5032
Biberstein;5023
Buchs (AG);5033
Densbüren;5025
Densbüren;5026
Erlinsbach (AG);5017
Erlinsbach (AG);5018
Gränichen;5722
Hirschthal;5042
Küttigen;5022
Küttigen;5024
Muhen;5037
Oberentfelden;5036
Suhr;5034
Unterentfelden;5035
Baden;5400
Baden;5404
Baden;5405
Baden;5406
Bellikon;5454
Bergdietikon;8962
Birmenstorf (AG);5413
Ennetbaden;5408
Fislisbach;5442
Freienwil;5423
Gebenstorf;5412
Gebenstorf;5412
Killwangen;8956
Künten;5444
Mägenwil;5506
Mellingen;5507
Neuenhof;5432
Niederrohrdorf;5443
Oberrohrdorf;5452
Obersiggenthal;5415
Obersiggenthal;5415
Obersiggenthal;5415
Obersiggenthal;5416
Remetschwil;5453
Spreitenbach;8957
Stetten (AG);5608
Turgi;5300
Untersiggenthal;5301
Untersiggenthal;5417
Wettingen;5430
Wohlenschwil;5512
Würenlingen;5303
Würenlos;5436
Würenlos;8109
Ehrendingen;5420
Arni (AG);8905
Berikon;8965
Bremgarten (AG);5620
Bremgarten (AG);5626
Büttikon;5619
Dottikon;5605
Eggenwil;5445
Fischbach-Göslikon;5525
Hägglingen;5607
Jonen;8916
Niederwil (AG);5524
Niederwil (AG);5524
Oberlunkhofen;8917
Oberwil-Lieli;8966
Rudolfstetten-Friedlisberg;8964
Sarmenstorf;5614
Tägerig;5522
Uezwil;5619
Unterlunkhofen;8918
Villmergen;5612
Villmergen;5613
Widen;8967
Wohlen (AG);5610
Wohlen (AG);5611
Zufikon;5621
Islisberg;8905
Auenstein;5105
Birr;5242
Birrhard;5244
Bözen;5076
Brugg;5200
Brugg;5222
Effingen;5078
Elfingen;5077
Habsburg;5245
Hausen (AG);5212
Lupfig;5242
Lupfig;5246
Mandach;5318
Mönthal;5237
Mülligen;5243
Remigen;5236
Riniken;5223
Rüfenach;5235
Schinznach-Bad;5116
Thalheim (AG);5112
Veltheim (AG);5106
Villigen;5233
Villigen;5234
Villnachern;5213
Windisch;5210
Bözberg;5225
Schinznach;5107
Schinznach;5108
Beinwil am See;5712
Birrwil;5708
Burg (AG);5736
Dürrenäsch;5724
Gontenschwil;5728
Holziken;5043
Leimbach (AG);5733
Leutwil;5725
Menziken;5737
Oberkulm;5727
Reinach (AG);5734
Schlossrued;5044
Schmiedrued;5046
Schmiedrued;5046
Schöftland;5040
Teufenthal (AG);5723
Unterkulm;5726
Zetzwil;5732
Eiken;5074
Frick;5070
Gansingen;5272
Gipf-Oberfrick;5073
Herznach;5027
Hornussen;5075
Kaisten;5082
Kaisten;5083
Laufenburg;5080
Laufenburg;5084
Laufenburg;5085
Münchwilen (AG);4333
Oberhof;5062
Oeschgen;5072
Schwaderloch;5326
Sisseln;4334
Ueken;5028
Wittnau;5064
Wölflinswil;5063
Zeihen;5079
Mettauertal;5273
Mettauertal;5274
Mettauertal;5275
Mettauertal;5276
Mettauertal;5277
Ammerswil;5600
Boniswil;5706
Brunegg;5505
Dintikon;5606
Egliswil;5704
Fahrwangen;5615
Hallwil;5705
Hendschiken;5604
Holderbank (AG);5113
Hunzenschwil;5502
Lenzburg;5600
Meisterschwanden;5616
Meisterschwanden;5617
Möriken-Wildegg;5103
Möriken-Wildegg;5103
Niederlenz;5702
Othmarsingen;5504
Rupperswil;5102
Schafisheim;5503
Seengen;5707
Seon;5703
Staufen;5603
Abtwil;5646
Aristau;5628
Auw;5644
Beinwil (Freiamt);5637
Besenbüren;5627
Bettwil;5618
Boswil;5623
Bünzen;5624
Bünzen;5624
Buttwil;5632
Dietwil;6042
Geltwil;5637
Kallern;5625
Merenschwand;5634
Merenschwand;5636
Mühlau;5642
Muri (AG);5630
Oberrüti;5647
Rottenschwil;8919
Sins;5643
Sins;5643
Sins;5643
Sins;5643
Sins;5645
Sins;5645
Waltenschwil;5622
Hellikon;4316
Kaiseraugst;4303
Magden;4312
Möhlin;4313
Mumpf;4322
Obermumpf;4324
Olsberg;4305
Rheinfelden;4310
Schupfart;4325
Stein (AG);4332
Wallbach;4323
Wegenstetten;4317
Zeiningen;4314
Zuzgen;4315
Aarburg;4663
Attelwil;5056
Bottenwil;4814
Brittnau;4805
Kirchleerau;5054
Kölliken;5742
Moosleerau;5054
Murgenthal;4853
Murgenthal;4853
Murgenthal;4853
Murgenthal;4856
Oftringen;4665
Reitnau;5057
Rothrist;4852
Safenwil;5745
Staffelbach;5053
Staffelbach;5053
Strengelbach;4802
Uerkheim;4813
Vordemwald;4803
Wiliberg;5058
Zofingen;4800
Zofingen;4812
Baldingen;5333
Böbikon;5334
Böttstein;5314
Böttstein;5315
Döttingen;5312
Endingen;5304
Endingen;5305
Fisibach;5467
Full-Reuenthal;5324
Kaiserstuhl;5466
Klingnau;5313
Koblenz;5322
Leibstadt;5325
Lengnau (AG);5426
Leuggern;5316
Leuggern;5317
Mellikon;5465
Rekingen (AG);5332
Rietheim;5323
Rümikon;5464
Schneisingen;5425
Siglistorf;5462
Tegerfelden;5306
Wislikofen;5463
Bad Zurzach;5330
Arbon;9320
Arbon;9320
Arbon;9320
Dozwil;8582
Egnach;9314
Egnach;9315
Egnach;9315
Egnach;9322
Hefenhofen;8580
Horn;9326
Kesswil;8593
Roggwil (TG);9306
Roggwil (TG);9325
Romanshorn;8590
Salmsach;8599
Sommeri;8580
Uttwil;8592
Amriswil;8580
Amriswil;8580
Amriswil;8580
Amriswil;8581
Amriswil;8587
Bischofszell;9220
Bischofszell;9223
Bischofszell;9223
Erlen;8586
Erlen;8586
Erlen;8586
Erlen;8586
Erlen;8586
Erlen;8586
Hauptwil-Gottshaus;9213
Hauptwil-Gottshaus;9225
Hauptwil-Gottshaus;9225
Hohentannen;9216
Hohentannen;9216
Kradolf-Schönenberg;9214
Kradolf-Schönenberg;9215
Kradolf-Schönenberg;9215
Kradolf-Schönenberg;9217
Sulgen;8583
Sulgen;8583
Sulgen;8583
Zihlschlacht-Sitterdorf;8588
Zihlschlacht-Sitterdorf;8589
Basadingen-Schlattingen;8254
Basadingen-Schlattingen;8255
Diessenhofen;8253
Diessenhofen;8253
Schlatt (TG);8252
Aadorf;8355
Aadorf;8356
Aadorf;8357
Aadorf;8522
Aadorf;8522
Aadorf;9547
Felben-Wellhausen;8552
Frauenfeld;8500
Frauenfeld;8500
Gachnang;8546
Gachnang;8546
Gachnang;8547
Hüttlingen;8553
Hüttlingen;8553
Hüttlingen;8553
Hüttlingen;8553
Matzingen;9548
Neunforn;8525
Neunforn;8525
Neunforn;8526
Stettfurt;9507
Thundorf;8512
Thundorf;8512
Thundorf;8512
Uesslingen-Buch;8524
Uesslingen-Buch;8524
Warth-Weiningen;8532
Warth-Weiningen;8532
Altnau;8595
Bottighofen;8598
Ermatingen;8272
Ermatingen;8273
Gottlieben;8274
Güttingen;8594
Kemmental;8565
Kemmental;8566
Kemmental;8566
Kemmental;8566
Kemmental;8566
Kemmental;8573
Kemmental;8573
Kemmental;8573
Kreuzlingen;8280
Langrickenbach;8585
Langrickenbach;8585
Langrickenbach;8585
Langrickenbach;8585
Lengwil;8574
Lengwil;8574
Lengwil;8574
Lengwil;8574
Lengwil;8574
Münsterlingen;8596
Münsterlingen;8596
Münsterlingen;8597
Tägerwilen;8274
Wäldi;8564
Wäldi;8564
Wäldi;8564
Wäldi;8564
Wäldi;8564
Wäldi;8564
Wäldi;8564
Affeltrangen;9556
Affeltrangen;9556
Affeltrangen;9562
Affeltrangen;9562
Bettwiesen;9553
Bichelsee-Balterswil;8362
Bichelsee-Balterswil;8363
Braunau;9502
Eschlikon;8360
Eschlikon;8360
Fischingen;8374
Fischingen;8374
Fischingen;8376
Fischingen;8376
Lommis;9506
Lommis;9508
Münchwilen (TG);9542
Münchwilen (TG);9543
Rickenbach (TG);9532
Schönholzerswilen;8577
Sirnach;8370
Sirnach;8371
Sirnach;8372
Sirnach;9573
Tobel-Tägerschen;9554
Tobel-Tägerschen;9555
Wängi;9545
Wängi;9546
Wilen (TG);9535
Wuppenau;9514
Wuppenau;9515
Berlingen;8267
Eschenz;8264
Herdern;8506
Herdern;8535
Homburg;8507
Homburg;8508
Hüttwilen;8536
Hüttwilen;8537
Hüttwilen;8537
Mammern;8265
Müllheim;8555
Pfyn;8505
Pfyn;8505
Raperswilen;8558
Salenstein;8268
Salenstein;8268
Salenstein;8269
Steckborn;8266
Wagenhausen;8259
Wagenhausen;8259
Wagenhausen;8259
Wagenhausen;8259
Amlikon-Bissegg;8514
Berg (TG);8572
Berg (TG);8572
Berg (TG);8572
Berg (TG);8572
Berg (TG);8572
Berg (TG);8576
Birwinken;8585
Birwinken;8585
Birwinken;8585
Birwinken;8585
Birwinken;8586
Birwinken;8586
Bürglen (TG);8575
Bürglen (TG);8575
Bürglen (TG);8584
Bürglen (TG);8584
Bussnang;9503
Bussnang;9503
Bussnang;9504
Bussnang;9517
Bussnang;9565
Bussnang;9565
Bussnang;9565
Bussnang;9565
Bussnang;9565
Märstetten;8560
Märstetten;8561
Weinfelden;8570
Wigoltingen;8554
Wigoltingen;8554
Wigoltingen;8556
Wigoltingen;8556
Wigoltingen;8556
Wigoltingen;8556
Wigoltingen;8564
Arbedo-Castione;6517
Arbedo-Castione;6532
Bellinzona;6500
Bellinzona;6503
Bellinzona;6512
Bellinzona;6513
Bellinzona;6514
Bellinzona;6515
Bellinzona;6518
Bellinzona;6523
Bellinzona;6524
Bellinzona;6525
